Name,Code,Type,Emp14,Emp24,Dist14,Dist24,ChgNum,ChgPerc,Openings
First-line supervisors of gaming workers,39-1010,Summary,34.90,34.90,0.00,0.00,0.00,-0.10,11.70
Gaming supervisors,39-1011,Line item,27.80,28.00,0.00,0.00,0.20,0.70,9.40
Slot supervisors,39-1012,Line item,7.10,6.90,0.00,0.00,-0.20,-3.20,2.40
First-line supervisors of personal service workers,39-1021,Line item,255.80,283.80,0.20,0.20,28.00,10.90,76.40
Animal care and service workers,39-2000,Summary,241.60,267.30,0.20,0.20,25.70,10.60,81.30
Animal trainers,39-2011,Line item,36.80,40.90,0.00,0.00,4.10,11.10,17.40
Nonfarm animal caretakers,39-2021,Line item,204.80,226.40,0.10,0.10,21.60,10.60,63.80
Entertainment attendants and related workers,39-3000,Summary,543.90,576.40,0.40,0.40,32.50,6.00,271.40
Gaming services workers,39-3010,Summary,93.10,94.20,0.10,0.10,1.00,1.10,26.00
Gaming dealers,39-3011,Line item,68.50,68.90,0.00,0.00,0.40,0.60,18.80
Gaming and sports book writers and runners,39-3012,Line item,11.50,11.90,0.00,0.00,0.40,3.40,3.50
"Gaming service workers, all other",39-3019,Line item,13.20,13.40,0.00,0.00,0.20,1.60,3.70
Motion picture projectionists,39-3021,Line item,6.70,5.50,0.00,0.00,-1.20,-18.20,2.70
"Ushers, lobby attendants, and ticket takers",39-3031,Line item,113.90,120.00,0.10,0.10,6.10,5.30,77.90
Miscellaneous entertainment attendants and related workers,39-3090,Summary,330.20,356.80,0.20,0.20,26.60,8.10,164.90
Amusement and recreation attendants,39-3091,Line item,288.60,310.90,0.20,0.20,22.30,7.70,143.20
Costume attendants,39-3092,Line item,6.20,6.70,0.00,0.00,0.50,8.80,3.10
"Locker room, coatroom, and dressing room attendants",39-3093,Line item,18.60,19.40,0.00,0.00,0.90,4.70,8.60
"Entertainment attendants and related workers, all other",39-3099,Line item,16.90,19.80,0.00,0.00,2.90,17.10,10.00
Funeral service workers,39-4000,Summary,71.00,72.40,0.00,0.00,1.40,2.00,17.70
Embalmers,39-4011,Line item,3.80,3.60,0.00,0.00,-0.20,-6.10,0.80
Funeral attendants,39-4021,Line item,36.10,35.70,0.00,0.00,-0.40,-1.20,7.90
"Morticians, undertakers, and funeral directors",39-4031,Line item,31.10,33.20,0.00,0.00,2.10,6.70,8.90
Personal appearance workers,39-5000,Summary,852.30,938.20,0.60,0.60,85.90,10.10,265.90
"Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,656.40,720.70,0.40,0.40,64.40,9.80,229.10
Barbers,39-5011,Line item,59.20,65.10,0.00,0.00,6.00,10.10,17.00
"Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,597.20,655.60,0.40,0.40,58.40,9.80,212.10
Miscellaneous personal appearance workers,39-5090,Summary,195.90,217.40,0.10,0.10,21.50,11.00,36.80
"Makeup artists, theatrical and performance",39-5091,Line item,3.60,4.30,0.00,0.00,0.70,19.20,1.00
Manicurists and pedicurists,39-5092,Line item,113.60,125.30,0.10,0.10,11.70,10.30,20.60
Shampooers,39-5093,Line item,23.80,26.20,0.00,0.00,2.50,10.30,4.30
Skincare specialists,39-5094,Line item,55.00,61.60,0.00,0.00,6.60,12.10,10.90
"Baggage porters, bellhops, and concierges",39-6000,Summary,74.80,81.50,0.00,0.10,6.80,9.00,21.90
Baggage porters and bellhops,39-6011,Line item,43.60,47.10,0.00,0.00,3.50,8.00,12.40
Concierges,39-6012,Line item,31.20,34.40,0.00,0.00,3.30,10.40,9.60
Tour and travel guides,39-7000,Summary,47.30,49.50,0.00,0.00,2.20,4.60,20.80
Tour guides and escorts,39-7011,Line item,43.50,45.70,0.00,0.00,2.20,5.10,19.30
Travel guides,39-7012,Line item,3.90,3.90,0.00,0.00,0.00,0.00,1.50
Other personal care and service workers,39-9000,Summary,3884.40,4494.10,2.60,2.80,609.70,15.70,1298.70
Childcare workers,39-9011,Line item,1260.60,1329.90,0.80,0.80,69.30,5.50,441.30
Personal care aides,39-9021,Line item,1768.40,2226.50,1.20,1.40,458.10,25.90,601.10
Recreation and fitness workers,39-9030,Summary,658.40,720.80,0.40,0.40,62.30,9.50,183.70
Fitness trainers and aerobics instructors,39-9031,Line item,279.10,302.50,0.20,0.20,23.40,8.40,74.90
Recreation workers,39-9032,Line item,379.30,418.30,0.30,0.30,38.90,10.30,108.90
Residential advisors,39-9041,Line item,103.70,117.90,0.10,0.10,14.10,13.60,45.70
"Personal care and service workers, all other",39-9099,Line item,93.20,99.10,0.10,0.10,5.90,6.30,26.90
Sales and related occupations,41-0000,Summary,15423.10,16201.10,10.20,10.10,778.00,5.00,5357.80
Supervisors of sales workers,41-1000,Summary,1968.50,2056.40,1.30,1.30,87.90,4.50,481.20
First-line supervisors of retail sales workers,41-1011,Line item,1537.80,1605.40,1.00,1.00,67.60,4.40,411.30
First-line supervisors of non-retail sales workers,41-1012,Line item,430.70,451.00,0.30,0.30,20.30,4.70,69.90
Retail sales workers,41-2000,Summary,8739.30,9152.10,5.80,5.70,412.80,4.70,3641.40
Cashiers,41-2010,Summary,3437.50,3503.00,2.30,2.20,65.50,1.90,1529.50
Cashiers,41-2011,Line item,3424.20,3491.10,2.30,2.20,67.00,2.00,1523.80
Gaming change persons and booth cashiers,41-2012,Line item,13.30,11.90,0.00,0.00,-1.40,-10.90,5.70
Counter and rental clerks and parts salespersons,41-2020,Summary,676.90,710.00,0.40,0.40,33.10,4.90,194.60
Counter and rental clerks,41-2021,Line item,442.10,458.50,0.30,0.30,16.30,3.70,125.80
Parts salespersons,41-2022,Line item,234.70,251.50,0.20,0.20,16.80,7.20,68.90
Retail salespersons,41-2031,Line item,4624.90,4939.10,3.10,3.10,314.20,6.80,1917.20
"Sales representatives, services",41-3000,Summary,1903.10,2036.50,1.30,1.30,133.40,7.00,570.90
Advertising sales agents,41-3011,Line item,167.90,163.40,0.10,0.10,-4.50,-2.70,49.80
Insurance sales agents,41-3021,Line item,466.10,509.50,0.30,0.30,43.50,9.30,165.80
"Securities, commodities, and financial services sales agents",41-3031,Line item,341.50,374.00,0.20,0.20,32.50,9.50,91.40
Travel agents,41-3041,Line item,74.10,65.40,0.00,0.00,-8.70,-11.70,11.50
"Sales representatives, services, all other",41-3099,Line item,853.50,924.10,0.60,0.60,70.60,8.30,252.40
"Sales representatives, wholesale and manufacturing",41-4000,Summary,1800.90,1918.20,1.20,1.20,117.20,6.50,487.70
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,347.80,371.70,0.20,0.20,23.80,6.90,95.40
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,1453.10,1546.50,1.00,1.00,93.40,6.40,392.30
Other sales and related workers,41-9000,Summary,1011.20,1037.90,0.70,0.60,26.70,2.60,176.70
"Models, demonstrators, and product promoters",41-9010,Summary,98.90,107.10,0.10,0.10,8.20,8.30,37.50
Demonstrators and product promoters,41-9011,Line item,93.00,101.30,0.10,0.10,8.20,8.90,35.80
Models,41-9012,Line item,5.80,5.80,0.00,0.00,0.00,-0.20,1.70
Real estate brokers and sales agents,41-9020,Summary,421.30,432.10,0.30,0.30,10.90,2.60,40.30
Real estate brokers,41-9021,Line item,83.90,85.40,0.10,0.10,1.50,1.80,7.30
Real estate sales agents,41-9022,Line item,337.40,346.80,0.20,0.20,9.40,2.80,33.00
Sales engineers,41-9031,Line item,69.90,74.90,0.00,0.00,4.90,7.00,23.00
Telemarketers,41-9041,Line item,237.90,230.80,0.20,0.10,-7.20,-3.00,43.90
Miscellaneous sales and related workers,41-9090,Summary,183.20,193.10,0.10,0.10,9.90,5.40,31.90
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,80.20,79.10,0.10,0.00,-1.10,-1.40,6.60
"Sales and related workers, all other",41-9099,Line item,103.00,114.00,0.10,0.10,11.00,10.70,25.40
Office and administrative support occupations,43-0000,Summary,22766.10,23232.60,15.10,14.50,466.50,2.00,5657.10
Supervisors of office and administrative support workers,43-1000,Summary,1466.10,1587.30,1.00,1.00,121.20,8.30,342.70
First-line supervisors of office and administrative support workers,43-1011,Line item,1466.10,1587.30,1.00,1.00,121.20,8.30,342.70
Communications equipment operators,43-2000,Summary,128.80,86.40,0.10,0.10,-42.40,-32.90,17.30
"Switchboard operators, including answering service",43-2011,Line item,112.40,75.40,0.10,0.00,-37.00,-32.90,13.30
Telephone operators,43-2021,Line item,13.10,7.50,0.00,0.00,-5.50,-42.40,3.20
"Communications equipment operators, all other",43-2099,Line item,3.30,3.50,0.00,0.00,0.20,5.60,0.80
Financial clerks,43-3000,Summary,3440.40,3290.70,2.30,2.10,-149.70,-4.40,723.70
Bill and account collectors,43-3011,Line item,350.40,330.90,0.20,0.20,-19.60,-5.60,85.60
Billing and posting clerks,43-3021,Line item,514.60,581.10,0.30,0.40,66.50,12.90,174.10
"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,1760.30,1611.50,1.20,1.00,-148.70,-8.40,172.60
Gaming cage workers,43-3041,Line item,11.30,11.90,0.00,0.00,0.60,5.00,2.70
Payroll and timekeeping clerks,43-3051,Line item,172.80,166.90,0.10,0.10,-5.90,-3.40,46.30
Procurement clerks,43-3061,Line item,72.30,66.30,0.00,0.00,-6.00,-8.30,25.10
Tellers,43-3071,Line item,520.50,480.50,0.30,0.30,-40.00,-7.70,203.60
"Financial clerks, all other",43-3099,Line item,38.10,41.60,0.00,0.00,3.40,9.00,13.70
Information and record clerks,43-4000,Summary,5634.30,6033.10,3.70,3.80,398.80,7.10,1798.60
Brokerage clerks,43-4011,Line item,57.20,62.40,0.00,0.00,5.20,9.00,19.10
Correspondence clerks,43-4021,Line item,8.40,7.20,0.00,0.00,-1.20,-14.70,2.30
"Court, municipal, and license clerks",43-4031,Line item,140.80,147.10,0.10,0.10,6.30,4.50,14.80
"Credit authorizers, checkers, and clerks",43-4041,Line item,46.10,43.30,0.00,0.00,-2.80,-6.20,3.80
Customer service representatives,43-4051,Line item,2581.80,2834.80,1.70,1.80,252.90,9.80,888.70
"Eligibility interviewers, government programs",43-4061,Line item,129.90,132.00,0.10,0.10,2.10,1.60,16.30
File clerks,43-4071,Line item,159.00,150.10,0.10,0.10,-8.90,-5.60,32.00
"Hotel, motel, and resort desk clerks",43-4081,Line item,243.20,265.10,0.20,0.20,21.90,9.00,147.70
"Interviewers, except eligibility and loan",43-4111,Line item,198.00,208.30,0.10,0.10,10.40,5.20,55.50
"Library assistants, clerical",43-4121,Line item,108.80,114.70,0.10,0.10,5.90,5.40,39.60
Loan interviewers and clerks,43-4131,Line item,213.80,232.30,0.10,0.10,18.50,8.60,51.30
New accounts clerks,43-4141,Line item,52.90,48.60,0.00,0.00,-4.30,-8.20,12.90
Order clerks,43-4151,Line item,195.90,194.30,0.10,0.10,-1.50,-0.80,53.10
"Human resources assistants, except payroll and timekeeping",43-4161,Line item,140.60,134.80,0.10,0.10,-5.80,-4.10,15.90
Receptionists and information clerks,43-4171,Line item,1028.60,1126.30,0.70,0.70,97.80,9.50,375.00
Reservation and transportation ticket agents and travel clerks,43-4181,Line item,140.80,138.80,0.10,0.10,-2.00,-1.40,17.70
"Information and record clerks, all other",43-4199,Line item,188.50,193.00,0.10,0.10,4.60,2.40,53.00
"Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,3919.40,3877.50,2.60,2.40,-41.90,-1.10,1162.60
Cargo and freight agents,43-5011,Line item,78.80,84.30,0.10,0.10,5.50,7.00,31.30
Couriers and messengers,43-5021,Line item,92.90,97.70,0.10,0.10,4.80,5.20,16.50
Dispatchers,43-5030,Summary,301.50,307.30,0.20,0.20,5.80,1.90,84.10
"Police, fire, and ambulance dispatchers",43-5031,Line item,102.00,99.00,0.10,0.10,-3.00,-2.90,25.50
"Dispatchers, except police, fire, and ambulance",43-5032,Line item,199.50,208.20,0.10,0.10,8.80,4.40,58.60
"Meter readers, utilities",43-5041,Line item,37.40,30.60,0.00,0.00,-6.70,-18.00,6.70
Postal service workers,43-5050,Summary,484.60,348.60,0.30,0.20,-136.00,-28.10,79.40
Postal service clerks,43-5051,Line item,69.60,51.30,0.00,0.00,-18.30,-26.20,8.40
Postal service mail carriers,43-5052,Line item,297.40,219.40,0.20,0.10,-78.10,-26.20,57.40
"Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,117.60,78.00,0.10,0.00,-39.70,-33.70,13.60
"Production, planning, and expediting clerks",43-5061,Line item,304.60,310.90,0.20,0.20,6.30,2.10,88.90
"Shipping, receiving, and traffic clerks",43-5071,Line item,670.20,655.70,0.40,0.40,-14.50,-2.20,145.50
Stock clerks and order fillers,43-5081,Line item,1878.10,1971.10,1.20,1.20,92.90,4.90,689.00
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,71.30,71.20,0.00,0.00,-0.10,-0.10,21.10
Secretaries and administrative assistants,43-6000,Summary,3976.80,4095.60,2.60,2.60,118.80,3.00,591.50
Executive secretaries and executive administrative assistants,43-6011,Line item,776.60,732.00,0.50,0.50,-44.60,-5.70,81.90
Legal secretaries,43-6012,Line item,215.50,206.70,0.10,0.10,-8.90,-4.10,22.70
Medical secretaries,43-6013,Line item,527.60,635.80,0.40,0.40,108.20,20.50,163.80
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,2457.00,2521.10,1.60,1.60,64.00,2.60,323.10
Other office and administrative support workers,43-9000,Summary,4200.30,4262.00,2.80,2.70,61.60,1.50,1020.60
Computer operators,43-9011,Line item,61.10,49.50,0.00,0.00,-11.60,-19.00,4.60
Data entry and information processing workers,43-9020,Summary,307.50,285.40,0.20,0.20,-22.10,-7.20,30.70
Data entry keyers,43-9021,Line item,216.80,208.90,0.10,0.10,-7.90,-3.70,27.60
Word processors and typists,43-9022,Line item,90.70,76.50,0.10,0.00,-14.20,-15.70,3.10
Desktop publishers,43-9031,Line item,14.80,11.70,0.00,0.00,-3.10,-21.00,4.00
Insurance claims and policy processing clerks,43-9041,Line item,285.40,303.10,0.20,0.20,17.70,6.20,89.20
"Mail clerks and mail machine operators, except postal service",43-9051,Line item,104.90,85.10,0.10,0.10,-19.80,-18.80,21.40
"Office clerks, general",43-9061,Line item,3062.50,3158.20,2.00,2.00,95.80,3.10,756.20
"Office machine operators, except computer",43-9071,Line item,69.60,58.00,0.00,0.00,-11.50,-16.60,15.80
Proofreaders and copy markers,43-9081,Line item,13.60,13.30,0.00,0.00,-0.30,-2.40,2.60
Statistical assistants,43-9111,Line item,16.60,14.80,0.00,0.00,-1.80,-10.90,6.70
"Office and administrative support workers, all other",43-9199,Line item,264.50,282.90,0.20,0.20,18.40,7.00,89.50
"Farming, fishing, and forestry occupations",45-0000,Summary,972.10,914.90,0.60,0.60,-57.20,-5.90,253.10
"Supervisors of farming, fishing, and forestry workers",45-1000,Summary,47.10,43.30,0.00,0.00,-3.90,-8.20,11.50
"First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,47.10,43.30,0.00,0.00,-3.90,-8.20,11.50
Agricultural workers,45-2000,Summary,828.90,777.10,0.60,0.50,-51.70,-6.20,218.00
Agricultural inspectors,45-2011,Line item,14.20,14.10,0.00,0.00,-0.10,-0.60,3.60
Animal breeders,45-2021,Line item,7.00,6.90,0.00,0.00,-0.10,-1.60,1.90
"Graders and sorters, agricultural products",45-2041,Line item,53.00,48.90,0.00,0.00,-4.10,-7.80,8.50
Miscellaneous agricultural workers,45-2090,Summary,754.70,707.30,0.50,0.40,-47.40,-6.30,204.10
Agricultural equipment operators,45-2091,Line item,57.80,60.90,0.00,0.00,3.10,5.40,18.50
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,470.20,427.30,0.30,0.30,-42.90,-9.10,125.20
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,216.10,209.10,0.10,0.10,-7.00,-3.20,57.50
"Agricultural workers, all other",45-2099,Line item,10.60,10.00,0.00,0.00,-0.60,-5.70,2.80
Fishing and hunting workers,45-3000,Line item,28.40,28.20,0.00,0.00,-0.20,-0.70,7.00
"Forest, conservation, and logging workers",45-4000,Summary,67.70,66.30,0.00,0.00,-1.40,-2.00,16.60
Forest and conservation workers,45-4011,Line item,14.00,14.60,0.00,0.00,0.60,4.20,3.90
Logging workers,45-4020,Summary,53.70,51.70,0.00,0.00,-2.00,-3.60,12.70
Fallers,45-4021,Line item,8.20,6.80,0.00,0.00,-1.40,-17.20,2.00
Logging equipment operators,45-4022,Line item,37.30,37.10,0.00,0.00,-0.10,-0.30,8.80
Log graders and scalers,45-4023,Line item,3.70,3.70,0.00,0.00,-0.10,-2.00,0.90
"Logging workers, all other",45-4029,Line item,4.50,4.10,0.00,0.00,-0.30,-7.50,1.10
Construction and extraction occupations,47-0000,Summary,6501.70,7160.70,4.30,4.50,659.00,10.10,1682.20
Supervisors of construction and extraction workers,47-1000,Summary,578.40,636.10,0.40,0.40,57.70,10.00,103.60
First-line supervisors of construction trades and extraction workers,47-1011,Line item,578.40,636.10,0.40,0.40,57.70,10.00,103.60
Construction trades workers,47-2000,Summary,4995.70,5509.70,3.30,3.40,514.00,10.30,1290.40
Boilermakers,47-2011,Line item,17.40,19.00,0.00,0.00,1.50,8.70,4.20
"Brickmasons, blockmasons, and stonemasons",47-2020,Summary,93.10,109.70,0.10,0.10,16.60,17.90,24.40
Brickmasons and blockmasons,47-2021,Line item,78.10,92.60,0.10,0.10,14.50,18.60,21.00
Stonemasons,47-2022,Line item,14.90,17.10,0.00,0.00,2.10,14.30,3.40
Carpenters,47-2031,Line item,945.40,1005.80,0.60,0.60,60.40,6.40,169.10
"Carpet, floor, and tile installers and finishers",47-2040,Summary,125.40,131.30,0.10,0.10,5.90,4.70,23.70
Carpet installers,47-2041,Line item,45.30,45.10,0.00,0.00,-0.20,-0.50,6.30
"Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,17.10,19.20,0.00,0.00,2.10,12.20,4.50
Floor sanders and finishers,47-2043,Line item,7.90,8.40,0.00,0.00,0.50,6.20,1.60
Tile and marble setters,47-2044,Line item,55.10,58.70,0.00,0.00,3.50,6.40,11.30
"Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,158.50,179.10,0.10,0.10,20.60,13.00,39.90
Cement masons and concrete finishers,47-2051,Line item,155.20,175.50,0.10,0.10,20.30,13.10,39.20
Terrazzo workers and finishers,47-2053,Line item,3.40,3.60,0.00,0.00,0.20,7.30,0.70
Construction laborers,47-2061,Line item,1159.10,1306.50,0.80,0.80,147.40,12.70,378.60
Construction equipment operators,47-2070,Summary,424.80,467.90,0.30,0.30,43.20,10.20,118.20
"Paving, surfacing, and tamping equipment operators",47-2071,Line item,57.70,63.00,0.00,0.00,5.30,9.20,19.10
Pile-driver operators,47-2072,Line item,3.70,4.30,0.00,0.00,0.60,16.60,1.20
Operating engineers and other construction equipment operators,47-2073,Line item,363.40,400.60,0.20,0.20,37.20,10.20,97.80
"Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,127.00,133.60,0.10,0.10,6.60,5.20,14.40
Drywall and ceiling tile installers,47-2081,Line item,106.00,111.50,0.10,0.10,5.50,5.20,12.00
Tapers,47-2082,Line item,21.00,22.10,0.00,0.00,1.10,5.20,2.40
Electricians,47-2111,Line item,628.80,714.70,0.40,0.40,85.90,13.70,181.80
Glaziers,47-2121,Line item,45.30,47.20,0.00,0.00,1.90,4.10,8.40
Insulation workers,47-2130,Summary,55.60,63.00,0.00,0.00,7.40,13.30,26.20
"Insulation workers, floor, ceiling, and wall",47-2131,Line item,25.60,27.10,0.00,0.00,1.50,6.10,10.20
"Insulation workers, mechanical",47-2132,Line item,30.10,35.90,0.00,0.00,5.80,19.40,16.00
Painters and paperhangers,47-2140,Summary,367.00,393.70,0.20,0.20,26.70,7.30,85.10
"Painters, construction and maintenance",47-2141,Line item,360.50,387.10,0.20,0.20,26.50,7.40,83.90
Paperhangers,47-2142,Line item,6.40,6.60,0.00,0.00,0.20,2.40,1.20
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,470.80,525.10,0.30,0.30,54.30,11.50,116.50
Pipelayers,47-2151,Line item,45.70,51.00,0.00,0.00,5.20,11.40,11.30
"Plumbers, pipefitters, and steamfitters",47-2152,Line item,425.00,474.10,0.30,0.30,49.10,11.50,105.20
Plasterers and stucco masons,47-2161,Line item,27.00,28.90,0.00,0.00,1.90,7.10,3.10
Reinforcing iron and rebar workers,47-2171,Line item,18.70,23.10,0.00,0.00,4.40,23.40,7.20
Roofers,47-2181,Line item,123.40,139.30,0.10,0.10,15.80,12.80,34.70
Sheet metal workers,47-2211,Line item,141.00,150.50,0.10,0.10,9.40,6.70,39.80
Structural iron and steel workers,47-2221,Line item,61.40,64.20,0.00,0.00,2.70,4.50,13.00
Solar photovoltaic installers,47-2231,Line item,5.90,7.40,0.00,0.00,1.40,24.30,2.30
"Helpers, construction trades",47-3000,Summary,227.30,260.00,0.20,0.20,32.70,14.40,61.30
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,23.50,28.80,0.00,0.00,5.30,22.40,8.20
Helpers--carpenters,47-3012,Line item,39.70,42.70,0.00,0.00,3.00,7.50,8.00
Helpers--electricians,47-3013,Line item,69.00,81.50,0.00,0.10,12.50,18.00,21.10
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,11.90,13.10,0.00,0.00,1.20,10.50,2.70
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,52.40,59.40,0.00,0.00,7.00,13.40,13.60
Helpers--roofers,47-3016,Line item,11.30,13.00,0.00,0.00,1.70,15.30,3.10
"Helpers, construction trades, all other",47-3019,Line item,19.50,21.50,0.00,0.00,2.00,10.20,4.40
Other construction and related workers,47-4000,Summary,418.20,449.50,0.30,0.30,31.30,7.50,133.00
Construction and building inspectors,47-4011,Line item,101.20,109.20,0.10,0.10,8.10,8.00,36.30
Elevator installers and repairers,47-4021,Line item,20.70,23.40,0.00,0.00,2.70,13.00,5.90
Fence erectors,47-4031,Line item,24.40,26.40,0.00,0.00,2.00,8.00,6.70
Hazardous materials removal workers,47-4041,Line item,43.70,47.00,0.00,0.00,3.30,7.40,13.00
Highway maintenance workers,47-4051,Line item,151.30,158.60,0.10,0.10,7.30,4.80,47.60
Rail-track laying and maintenance equipment operators,47-4061,Line item,15.60,17.00,0.00,0.00,1.50,9.30,5.30
Septic tank servicers and sewer pipe cleaners,47-4071,Line item,24.70,28.70,0.00,0.00,4.00,16.30,10.10
Miscellaneous construction and related workers,47-4090,Summary,36.60,39.20,0.00,0.00,2.60,7.00,8.10
Segmental pavers,47-4091,Line item,1.30,1.40,0.00,0.00,0.10,9.30,0.30
"Construction and related workers, all other",47-4099,Line item,35.40,37.80,0.00,0.00,2.40,6.90,7.80
Extraction workers,47-5000,Summary,282.20,305.40,0.20,0.20,23.20,8.20,94.00
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5010,Summary,114.30,125.50,0.10,0.10,11.10,9.70,50.20
"Derrick operators, oil and gas",47-5011,Line item,21.70,24.60,0.00,0.00,2.90,13.30,10.30
"Rotary drill operators, oil and gas",47-5012,Line item,27.70,31.20,0.00,0.00,3.50,12.70,13.00
"Service unit operators, oil, gas, and mining",47-5013,Line item,64.90,69.60,0.00,0.00,4.70,7.30,26.90
"Earth drillers, except oil and gas",47-5021,Line item,20.00,22.70,0.00,0.00,2.70,13.60,7.20
"Explosives workers, ordnance handling experts, and blasters",47-5031,Line item,8.10,8.40,0.00,0.00,0.30,3.90,1.90
Mining machine operators,47-5040,Summary,22.30,21.50,0.00,0.00,-0.80,-3.50,4.30
Continuous mining machine operators,47-5041,Line item,12.30,11.60,0.00,0.00,-0.60,-5.30,2.40
Mine cutting and channeling machine operators,47-5042,Line item,7.40,7.30,0.00,0.00,-0.10,-1.80,1.40
"Mining machine operators, all other",47-5049,Line item,2.60,2.60,0.00,0.00,0.00,0.30,0.50
"Rock splitters, quarry",47-5051,Line item,3.70,3.90,0.00,0.00,0.30,6.90,0.70
"Roof bolters, mining",47-5061,Line item,6.00,5.30,0.00,0.00,-0.60,-10.80,0.70
"Roustabouts, oil and gas",47-5071,Line item,76.40,82.70,0.10,0.10,6.30,8.30,21.30
Helpers--extraction workers,47-5081,Line item,25.80,29.00,0.00,0.00,3.20,12.60,6.20
"Extraction workers, all other",47-5099,Line item,5.70,6.30,0.00,0.00,0.70,11.90,1.30
"Installation, maintenance, and repair occupations",49-0000,Summary,5680.50,6046.00,3.80,3.80,365.50,6.40,1708.90
"Supervisors of installation, maintenance, and repair workers",49-1000,Summary,447.10,471.40,0.30,0.30,24.30,5.40,113.50
"First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,447.10,471.40,0.30,0.30,24.30,5.40,113.50
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,610.90,610.70,0.40,0.40,-0.20,0.00,109.40
"Computer, automated teller, and office machine repairers",49-2011,Line item,131.60,134.80,0.10,0.10,3.20,2.40,28.60
Radio and telecommunications equipment installers and repairers,49-2020,Summary,232.20,225.20,0.20,0.10,-7.00,-3.00,21.80
"Radio, cellular, and tower equipment installers and repairs",49-2021,Line item,13.60,14.40,0.00,0.00,0.80,6.00,2.10
"Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,218.60,210.80,0.10,0.10,-7.80,-3.60,19.70
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,247.10,250.70,0.20,0.20,3.60,1.50,59.00
Avionics technicians,49-2091,Line item,17.40,17.50,0.00,0.00,0.10,0.40,3.10
"Electric motor, power tool, and related repairers",49-2092,Line item,19.30,20.00,0.00,0.00,0.70,3.60,6.00
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,14.80,15.40,0.00,0.00,0.70,4.40,3.20
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,67.80,67.80,0.00,0.00,0.10,0.10,11.80
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,22.70,21.70,0.00,0.00,-1.00,-4.50,3.90
"Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,11.50,5.80,0.00,0.00,-5.80,-50.00,2.00
Electronic home entertainment equipment installers and repairers,49-2097,Line item,29.60,30.30,0.00,0.00,0.70,2.40,4.90
Security and fire alarm systems installers,49-2098,Line item,64.00,72.30,0.00,0.00,8.20,12.90,24.10
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,1678.80,1786.50,1.10,1.10,107.80,6.40,518.70
Aircraft mechanics and service technicians,49-3011,Line item,119.90,121.50,0.10,0.10,1.60,1.30,30.10
Automotive technicians and repairers,49-3020,Summary,909.00,963.30,0.60,0.60,54.30,6.00,289.40
Automotive body and related repairers,49-3021,Line item,149.70,163.50,0.10,0.10,13.70,9.20,48.10
Automotive glass installers and repairers,49-3022,Line item,19.30,20.80,0.00,0.00,1.50,7.80,4.10
Automotive service technicians and mechanics,49-3023,Line item,739.90,779.00,0.50,0.50,39.10,5.30,237.20
Bus and truck mechanics and diesel engine specialists,49-3031,Line item,263.90,295.50,0.20,0.20,31.60,12.00,76.90
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,186.50,196.50,0.10,0.10,10.10,5.40,54.10
Farm equipment mechanics and service technicians,49-3041,Line item,40.30,43.20,0.00,0.00,2.90,7.20,12.40
"Mobile heavy equipment mechanics, except engines",49-3042,Line item,124.70,131.30,0.10,0.10,6.60,5.30,36.00
Rail car repairers,49-3043,Line item,21.50,22.00,0.00,0.00,0.60,2.70,5.70
Small engine mechanics,49-3050,Summary,71.70,74.90,0.00,0.00,3.20,4.40,17.60
Motorboat mechanics and service technicians,49-3051,Line item,22.50,23.10,0.00,0.00,0.60,2.70,5.10
